id,date_time,temperature_1,dewpoint_1,relative_humidity_1,precipitation_1,snow_1,wind_direction_1,wind_speed_1,wind_gust_1,air_pressure_1,sunshine_1,temperature_2,dewpoint_2,relative_humidity_2,precipitation_2,snow_2,wind_direction_2,wind_speed_2,wind_gust_2,air_pressure_2,sunshine_2,temperature_3,dewpoint_3,relative_humidity_3,precipitation_3,snow_3,wind_direction_3,wind_speed_3,wind_gust_3,air_pressure_3,sunshine_3,temperature_4,dewpoint_4,relative_humidity_4,precipitation_4,snow_4,wind_direction_4,wind_speed_4,wind_gust_4,air_pressure_4,sunshine_4,temperature_5,dewpoint_5,relative_humidity_5,precipitation_5,snow_5,wind_direction_5,wind_speed_5,wind_gust_5,air_pressure_5,sunshine_5,temperature_6,dewpoint_6,relative_humidity_6,precipitation_6,snow_6,wind_direction_6,wind_speed_6,wind_gust_6,air_pressure_6,sunshine_6,temperature_7,dewpoint_7,relative_humidity_7,precipitation_7,snow_7,wind_direction_7,wind_speed_7,wind_gust_7,air_pressure_7,sunshine_7,has_fire
930,2022-05-24 13:00:00,10.3,2.9,60.0,0.0,,200.0,5.4,,1022.0,,16.4,7.1,54.0,0.0,,310.0,16.6,,1012.0,,4.2,-4.0,55.0,0.0,,300.0,11.2,,1013.0,,2.5,-0.6,80.0,0.0,,0.0,0.0,,1020.0,,5.9,-3.7,50.0,0.0,,200.0,7.6,,1019.0,,5.1,1.9,80.0,0.0,,330.0,9.4,,1021.0,,6.3,-1.4,58.0,0.0,,210.0,7.6,,1018.0,,0.0
931,2020-11-16 12:00:00,-1.9,-2.7,94.0,0.0,,0.0,0.0,,1020.9,,-0.3,-3.2,81.0,0.0,,170.0,31.7,,1013.0,,-4.7,-4.8,99.0,0.0,,240.0,9.4,,1024.3,,-0.1,-5.7,66.0,0.0,,170.0,16.6,,1016.7,,2.2,-3.5,66.0,0.0,,290.0,22.3,,1015.5,,3.2,-6.0,51.0,0.0,,170.0,29.5,,1020.9,,1.3,0.9,97.0,0.0,,0.0,0.0,,1026.3,,0.0
932,2024-08-16 05:00:00,26.0,8.0,32.0,0.0,,130.0,22.0,,1018.0,,25.0,8.9,36.0,0.0,,130.0,24.0,,1017.0,,23.0,12.0,50.0,0.0,,180.0,19.0,,1020.0,,18.0,15.1,83.0,0.0,,120.0,24.0,,1019.0,,19.0,12.0,64.0,0.0,,120.0,43.0,,1017.0,,23.0,7.1,36.0,0.0,,130.0,24.0,,1018.0,,23.0,4.0,29.0,0.0,,120.0,17.0,,1016.0,,0.0
933,2024-03-01 02:00:00,6.7,-2.2,53.0,0.0,,340.0,14.8,,1026.0,,8.3,0.0,56.0,0.0,,0.0,0.0,,1018.5,,12.2,-2.1,37.0,0.0,,150.0,5.4,,1011.8,,12.2,-4.0,32.0,0.0,,280.0,9.4,,998.0,,0.0,-8.9,51.0,0.0,,320.0,11.2,,1022.2,,5.0,-3.8,53.0,0.0,,340.0,7.6,,1019.6,,13.3,-6.8,24.0,0.0,,170.0,24.1,,1006.5,,0.0
934,2024-03-08 16:00:00,9.3,-4.3,38.0,0.0,,160.0,51.8,,1000.0,,-1.2,-3.1,87.0,0.0,,180.0,16.6,,1005.0,,-1.5,-3.4,87.0,0.6,,170.0,11.2,,1013.0,,0.1,-3.3,78.0,0.0,,160.0,29.5,,1016.0,,6.7,-1.7,55.0,0.0,,130.0,7.6,,1012.0,,3.1,1.9,92.0,0.5,,0.0,0.0,,1011.0,,-1.9,-5.1,79.0,0.0,,0.0,0.0,,1026.0,,0.0
935,2025-10-31 00:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,2025-02-15 05:00:00,8.3,-10.6,25.0,0.0,,250.0,5.4,,1019.9,,8.3,-12.2,22.0,0.0,,0.0,0.0,,1018.3,,7.2,-13.7,21.0,0.0,,160.0,5.4,,1012.0,,5.0,-10.7,31.0,0.0,,70.0,24.1,,1008.0,,1.7,-18.8,20.0,0.0,,160.0,7.6,,1016.2,,3.9,3.9,100.0,1.0,,180.0,5.4,,1014.1,,7.2,5.0,86.0,,,130.0,7.6,,1016.1,,0.0
937,2023-05-16 07:00:00,7.0,-1.9,53.0,0.0,,0.0,0.0,,1011.8,,2.0,-1.1,80.0,0.0,,140.0,6.1,,1014.6,,2.0,-2.0,75.0,0.0,,123.0,7.2,,1018.4,,12.0,1.0,47.0,0.0,,20.0,14.8,,1021.8,,9.0,6.1,82.0,0.0,,358.0,10.1,,1021.3,,8.0,4.9,81.0,0.0,,0.0,0.0,,1025.7,,7.0,1.9,70.0,0.0,,144.0,8.3,,1023.9,,0.0
938,2024-12-13 04:00:00,0.6,-2.1,82.0,0.0,,0.0,0.0,,1029.4,,-1.7,-4.4,82.0,0.0,,90.0,7.6,,1023.4,,0.6,-2.1,82.0,0.0,,190.0,5.4,,1020.4,,0.6,-6.7,58.0,0.0,,300.0,11.2,,1030.5,,-1.7,-9.3,56.0,0.0,,170.0,11.2,,1033.8,,-0.6,-8.3,56.0,0.0,,0.0,0.0,,1022.0,,2.2,-6.1,54.0,0.0,,0.0,0.0,,1009.5,,0.0
939,2024-11-09 12:00:00,0.6,0.6,100.0,0.0,,160.0,5.4,,1010.1,,-4.4,-9.2,69.0,0.0,,210.0,7.6,,1023.3,,2.8,0.0,82.0,0.6,,270.0,11.2,,1014.6,,-4.4,-4.4,100.0,0.0,,0.0,0.0,,1024.1,,-6.1,-6.1,100.0,0.0,,100.0,7.6,,1029.8,,-3.9,-3.9,100.0,0.0,,0.0,0.0,,1027.1,,-4.4,-4.4,100.0,0.0,,0.0,0.0,,1021.4,,0.0
940,2025-05-02 21:00:00,24.4,-9.2,10.0,0.0,,140.0,27.7,26.0,999.6,,16.1,-5.6,22.0,0.0,,140.0,33.5,21.0,1004.8,,14.4,-0.5,36.0,0.0,,290.0,22.3,,1015.7,,18.9,-1.6,25.0,0.0,,300.0,16.6,,1014.2,,15.6,4.0,46.0,0.0,,260.0,13.0,,1012.9,,18.9,-2.1,24.0,0.0,,300.0,24.1,,1015.0,,23.3,-3.1,17.0,0.0,,0.0,0.0,15.0,1012.3,,0.0
