id,date_time,temperature_1,dewpoint_1,relative_humidity_1,precipitation_1,snow_1,wind_direction_1,wind_speed_1,wind_gust_1,air_pressure_1,temperature_2,dewpoint_2,relative_humidity_2,precipitation_2,snow_2,wind_direction_2,wind_speed_2,wind_gust_2,air_pressure_2,temperature_3,dewpoint_3,relative_humidity_3,precipitation_3,snow_3,wind_direction_3,wind_speed_3,wind_gust_3,air_pressure_3,temperature_4,dewpoint_4,relative_humidity_4,precipitation_4,snow_4,wind_direction_4,wind_speed_4,wind_gust_4,air_pressure_4,temperature_5,dewpoint_5,relative_humidity_5,precipitation_5,snow_5,wind_direction_5,wind_speed_5,wind_gust_5,air_pressure_5,temperature_6,dewpoint_6,relative_humidity_6,precipitation_6,snow_6,wind_direction_6,wind_speed_6,wind_gust_6,air_pressure_6,temperature_7,dewpoint_7,relative_humidity_7,precipitation_7,snow_7,wind_direction_7,wind_speed_7,wind_gust_7,air_pressure_7,has_fire
333,2025-04-02 08:00:00,9.4,-5.7,34.0,0.0,,300.0,5.4,,1011.5,15.6,-6.0,22.0,0.0,,0.0,0.0,,1002.7,12.2,-1.7,38.0,0.0,,170.0,14.8,,1002.7,4.4,1.1,79.0,0.0,,250.0,11.2,,1009.8,5.0,-4.3,51.0,0.0,,110.0,9.4,,1011.5,12.8,-6.2,26.0,0.0,,230.0,38.9,,995.6,-2.2,-11.7,48.0,0.0,,170.0,7.6,,1004.6,0.0
517,2024-08-17 21:00:00,32.2,16.1,38.0,,,120.0,24.1,,1011.9,34.4,14.8,31.0,0.0,,0.0,0.0,,1009.3,37.8,7.6,16.0,0.0,,250.0,38.9,,1007.2,37.8,3.5,12.0,0.0,,220.0,35.3,,1010.2,36.7,1.4,11.0,0.0,,260.0,13.0,,1010.2,37.8,0.9,10.0,0.0,,0.0,0.0,,1010.1,33.3,15.7,35.0,,,40.0,18.4,,1008.7,0.0
123,2022-08-24 11:00:00,22.8,6.1,34.0,0.0,,170.0,14.8,,1011.4,23.3,10.0,43.0,0.0,,190.0,7.6,,1009.7,18.3,15.0,81.0,0.0,,260.0,7.6,,1011.6,17.2,11.0,67.0,0.0,,170.0,13.0,,1014.0,20.0,12.2,61.0,0.0,,180.0,9.4,,1014.6,20.0,9.0,49.0,0.0,,180.0,13.0,,1010.9,21.1,5.4,36.0,0.0,,210.0,9.4,,1009.1,1.0
495,2025-06-23 21:00:00,29.0,-0.3,15.0,0.0,,20.0,25.9,18.0,1017.0,32.0,2.1,15.0,0.0,,20.0,24.1,,1016.0,39.0,-5.1,6.0,0.0,,210.0,20.5,22.0,1008.0,35.0,-4.2,8.0,0.0,,170.0,37.1,32.0,1002.0,21.0,0.2,25.0,0.0,,350.0,19.0,14.0,1007.0,17.0,1.0,34.0,0.0,,20.0,24.1,17.0,1019.0,21.0,-2.8,20.0,0.0,,340.0,16.6,,1020.0,1.0
275,2023-07-01 23:00:00,35.6,-12.6,4.0,0.0,,240.0,31.7,,1008.7,33.9,-8.7,6.0,0.0,,270.0,9.4,,1004.4,34.4,-6.4,7.0,0.0,,290.0,14.8,,1004.2,34.4,-6.4,7.0,0.0,,280.0,13.0,,1004.8,35.0,-1.2,10.0,0.0,,330.0,24.1,,1007.6,36.1,2.2,12.0,0.0,,290.0,13.0,,1009.5,39.4,2.1,10.0,0.0,,170.0,5.4,,1009.0,1.0
537,2024-09-20 01:00:00,22.8,-0.0,22.0,0.0,,320.0,5.4,,1012.4,28.3,-1.8,14.0,0.0,,10.0,11.2,,1008.4,23.3,9.3,41.0,4.1,,80.0,25.9,,1003.4,25.0,3.0,24.0,0.0,,190.0,18.4,,1001.1,15.6,4.9,49.0,0.0,,190.0,14.8,,1009.4,20.6,3.3,32.0,0.0,,330.0,7.6,,1011.5,23.3,4.3,29.0,0.0,,330.0,13.0,,1009.3,0.0
622,2024-01-06 17:00:00,1.6,-0.8,84.0,0.0,,330.0,7.6,,1020.0,0.7,-3.4,74.0,0.0,,0.0,0.0,,1024.0,1.2,-3.8,69.0,0.0,,170.0,5.4,,1025.0,4.8,-8.0,39.0,0.0,,150.0,20.5,,1015.0,0.9,0.0,94.0,0.0,,330.0,13.0,,1018.0,0.0,-1.1,92.0,0.3,,86.0,6.8,,1020.0,-2.6,-4.9,84.0,0.0,,170.0,14.8,,1018.0,0.0
510,2024-02-23 22:00:00,6.3,-10.0,30.0,0.0,,140.0,25.9,,1023.0,5.0,2.0,81.0,0.0,,30.0,7.0,,1016.0,12.7,-5.8,27.0,0.0,,150.0,29.5,,1014.0,8.8,3.8,71.0,1.9,,180.0,18.4,,1019.0,5.0,2.9,86.0,1.3,,320.0,25.9,,1017.0,5.8,-0.3,65.0,0.0,,0.0,0.0,,1026.0,9.3,-3.6,40.0,0.0,,340.0,5.4,,1027.0,0.0
316,2024-06-26 19:00:00,28.3,3.9,21.0,0.0,,160.0,7.6,,1017.0,28.0,9.3,31.0,0.0,,200.0,14.8,,1017.0,24.4,12.7,48.0,0.0,,209.0,10.1,,1017.3,31.7,8.0,23.0,0.0,,200.0,11.2,,1013.1,32.8,6.9,20.0,0.0,,219.0,14.8,,1009.7,31.7,6.7,21.0,0.0,,170.0,5.4,,1011.8,30.6,7.7,24.0,0.0,,310.0,5.4,,1011.4,1.0
428,2022-04-02 04:00:00,21.7,-7.9,13.0,0.0,,170.0,5.4,,1008.7,19.4,-10.7,12.0,0.0,,140.0,11.2,,1007.0,17.2,-0.1,31.0,0.1,,170.0,18.4,,1002.7,12.2,7.7,74.0,,,80.0,16.6,,1011.7,15.6,-0.6,33.0,0.0,,80.0,5.4,,1009.7,17.8,-3.0,24.0,0.0,,160.0,5.4,,1005.5,18.9,-2.1,24.0,0.0,,230.0,11.2,,1011.3,0.0
