station_url,latitude,longitude
https://api.weather.gov/stations/BXCU1,38.50809,-112.01856
https://api.weather.gov/stations/PC482,38.73779,-112.01932
https://api.weather.gov/stations/UT144,38.7379,-112.5844
https://api.weather.gov/stations/UTSSU,38.78319,-111.49338
https://api.weather.gov/stations/PC290,38.87578,-111.87663
https://api.weather.gov/stations/UTSCN,38.9057,-111.6399
https://api.weather.gov/stations/UTSPX,39.0182,-110.2904
https://api.weather.gov/stations/PC346,39.03487,-112.3359
https://api.weather.gov/stations/DCPU1,39.04554,-111.46875
https://api.weather.gov/stations/WRIU1,39.13233,-111.35685
https://api.weather.gov/stations/UCL17,39.22007,-111.06976
https://api.weather.gov/stations/UCL19,39.30786,-110.97402
https://api.weather.gov/stations/DLTU1,39.3872,-112.50945
https://api.weather.gov/stations/UKALF,39.4726,-111.4929
https://api.weather.gov/stations/PC150,39.52142,-110.40058
https://api.weather.gov/stations/UTLMP,39.5944,-111.9161
https://api.weather.gov/stations/CAOU1,39.65795,-110.37906
https://api.weather.gov/stations/KU14,39.7386,-111.8722
https://api.weather.gov/stations/UTTP4,39.75715,-110.91698
https://api.weather.gov/stations/RDN,39.989,-111.3701
https://api.weather.gov/stations/PC561,40.15291,-110.2407
https://api.weather.gov/stations/STDU1,40.16488,-111.20663
https://api.weather.gov/stations/UTSTV,40.17258,-110.493
https://api.weather.gov/stations/UTLAK,40.1768,-111.92455
https://api.weather.gov/stations/HOBU1,40.18538,-111.35971
https://api.weather.gov/stations/DPG03,40.20802,-113.33857
https://api.weather.gov/stations/UTWLF,40.4872,-111.0344
https://api.weather.gov/stations/BRUU1,40.58889,-109.46472
https://api.weather.gov/stations/UTDOL,40.722,-112.564
https://api.weather.gov/stations/UT43W,40.9918,-109.8445
https://api.weather.gov/stations/PC066,41.02112,-111.11708
https://api.weather.gov/stations/GSLM,41.296997,-112.269075
https://api.weather.gov/stations/HRGU1,41.31372,-111.44624
https://api.weather.gov/stations/C8429,41.8,-111.3
https://api.weather.gov/stations/UTWTV,41.81014,-112.33939
https://api.weather.gov/stations/PC358,41.84859,-112.67298
https://api.weather.gov/stations/C8845,41.96417,-112.70867
https://api.weather.gov/stations/UCC46,41.99099,-111.95641
https://api.weather.gov/stations/FPWU1,37.00167,-113.46806
https://api.weather.gov/stations/UTSHR,37.09933,-113.3779
https://api.weather.gov/stations/FG016,37.23404,-113.3516
https://api.weather.gov/stations/MVYU1,38.30285,-112.43637
https://api.weather.gov/stations/PC203,38.57103,-112.37966
https://api.weather.gov/stations/PC616,38.59024,-109.25145
https://api.weather.gov/stations/BFTU1,38.6799,-111.59765
https://api.weather.gov/stations/FRLU1,38.77246,-111.67662
https://api.weather.gov/stations/PC202,38.78475,-112.18238
https://api.weather.gov/stations/PCKU1,38.88185,-112.24915
https://api.weather.gov/stations/PC599,38.93415,-110.13112
https://api.weather.gov/stations/UCC38,39.05862,-110.09041
https://api.weather.gov/stations/UP154,39.49014,-112.40955
https://api.weather.gov/stations/HNHU1,39.61774,-111.30576
https://api.weather.gov/stations/PC254,39.65353,-111.12962
https://api.weather.gov/stations/PC352,39.77311,-111.16887
https://api.weather.gov/stations/CRKU1,39.89275,-111.25154
https://api.weather.gov/stations/VNCU1,39.93681,-112.41441
https://api.weather.gov/stations/WRVU1,39.96443,-110.98848
https://api.weather.gov/stations/DSTU1,40.2953,-111.25677
https://api.weather.gov/stations/PC619,40.30921,-112.23113
https://api.weather.gov/stations/CUCU1,40.35747,-111.08993
https://api.weather.gov/stations/KENV,40.72056,-114.03583
https://api.weather.gov/stations/EFBU1,40.88472,-110.54056
https://api.weather.gov/stations/UP029,41.1089,-111.20748
