station_identifier,name,latitude,longitude,elevation_m,timezone,url,forecast_url,fireweather_zone_url
001NW,Grizzly Gulch,46.57807,-112.05122,1281.9888,America/Denver,https://api.weather.gov/stations/001NW,https://api.weather.gov/zones/forecast/MTZ315,https://api.weather.gov/zones/fire/MTZ118
001SE,SCE Glen Way,34.1255,-117.73333,409.0416,America/Los_Angeles,https://api.weather.gov/stations/001SE,https://api.weather.gov/zones/forecast/CAZ548,https://api.weather.gov/zones/fire/CAZ548
0021W,Tallahassee Nurseries,30.48228,-84.25614,70.104,America/New_York,https://api.weather.gov/stations/0021W,https://api.weather.gov/zones/forecast/FLZ017,https://api.weather.gov/zones/fire/FLZ017
002AS,Aasu_Wx,-14.309,-170.771,358.14,Pacific/Pago_Pago,https://api.weather.gov/stations/002AS,https://api.weather.gov/zones/forecast/ASZ001,https://api.weather.gov/zones/fire/ASZ001
002BH,Tinton,44.39302,-103.96457,1668.78,America/Denver,https://api.weather.gov/stations/002BH,https://api.weather.gov/zones/forecast/SDZ024,https://api.weather.gov/zones/fire/SDZ319
002CE,62 Baytown,29.80055,-94.96404,9.7536,America/Chicago,https://api.weather.gov/stations/002CE,https://api.weather.gov/zones/forecast/TXZ313,https://api.weather.gov/zones/fire/TXZ313
002HE,MECO Lahainaluna Rd,20.88582,-156.65842,153.924,Pacific/Honolulu,https://api.weather.gov/stations/002HE,https://api.weather.gov/zones/forecast/HIZ018,https://api.weather.gov/zones/fire/HIZ328
002HI,Park HQ,20.7598,-156.2482,2114.0928,Pacific/Honolulu,https://api.weather.gov/stations/002HI,https://api.weather.gov/zones/forecast/HIZ022,https://api.weather.gov/zones/fire/HIZ335
002ID,E2T15,45.07377,-113.63931,1634.3376,America/Boise,https://api.weather.gov/stations/002ID,https://api.weather.gov/zones/forecast/IDZ010,https://api.weather.gov/zones/fire/IDZ476
002MD,Frostburg 1 NNW,39.67557,-78.93353,690.9816,America/New_York,https://api.weather.gov/stations/002MD,https://api.weather.gov/zones/forecast/MDZ501,https://api.weather.gov/zones/fire/MDZ501
002NH,Lincoln Exit 34A,44.10539,-71.68296,448.9704,America/New_York,https://api.weather.gov/stations/002NH,https://api.weather.gov/zones/forecast/NHZ003,https://api.weather.gov/zones/fire/NHZ022
002NW,Hwy 12,46.57506,-112.16532,1287.1704,America/Denver,https://api.weather.gov/stations/002NW,https://api.weather.gov/zones/forecast/MTZ315,https://api.weather.gov/zones/fire/MTZ118
002PG,Reservation Road,36.63359,-121.69699,25.2984,America/Los_Angeles,https://api.weather.gov/stations/002PG,https://api.weather.gov/zones/forecast/CAZ528,https://api.weather.gov/zones/fire/CAZ528
002SE,SCE Native Ave,33.96833,-117.90908,196.9008,America/Los_Angeles,https://api.weather.gov/stations/002SE,https://api.weather.gov/zones/forecast/CAZ548,https://api.weather.gov/zones/fire/CAZ548
003AS,Vaipito_Wx,-14.282,-170.71,92.0496,Pacific/Pago_Pago,https://api.weather.gov/stations/003AS,https://api.weather.gov/zones/forecast/ASZ001,https://api.weather.gov/zones/fire/ASZ001
003BH,Legion Lake,43.75385,-103.45211,1496.8728,America/Denver,https://api.weather.gov/stations/003BH,https://api.weather.gov/zones/forecast/SDZ028,https://api.weather.gov/zones/fire/SDZ321
003CE,99 Old River,29.86744,-94.83204,10.668,America/Chicago,https://api.weather.gov/stations/003CE,https://api.weather.gov/zones/forecast/TXZ214,https://api.weather.gov/zones/fire/TXZ214
003HE,MECO Kula 2,20.82307,-156.3077,706.2216,Pacific/Honolulu,https://api.weather.gov/stations/003HE,https://api.weather.gov/zones/forecast/HIZ047,https://api.weather.gov/zones/fire/HIZ331
003HI,Summit,20.7104,-156.2567,2987.04,Pacific/Honolulu,https://api.weather.gov/stations/003HI,https://api.weather.gov/zones/forecast/HIZ022,https://api.weather.gov/zones/fire/HIZ335
003ID,W2T26,44.30781,-115.9854,1488.6432,America/Boise,https://api.weather.gov/stations/003ID,https://api.weather.gov/zones/forecast/IDZ011,https://api.weather.gov/zones/fire/IDZ403
003MD,Keedysville 2 NW,39.50959,-77.72659,148.7424,America/New_York,https://api.weather.gov/stations/003MD,https://api.weather.gov/zones/forecast/MDZ003,https://api.weather.gov/zones/fire/MDZ003
003NH,Epping Rt.101,43.02662,-71.11698,54.864,America/New_York,https://api.weather.gov/stations/003NH,https://api.weather.gov/zones/forecast/NHZ013,https://api.weather.gov/zones/fire/NHZ025
003NW,Birdseye Rd,46.68129,-112.16736,1357.5792,America/Denver,https://api.weather.gov/stations/003NW,https://api.weather.gov/zones/forecast/MTZ316,https://api.weather.gov/zones/fire/MTZ118
003PG,Loma Chiquita West,37.10476,-121.82532,794.9184,America/Los_Angeles,https://api.weather.gov/stations/003PG,https://api.weather.gov/zones/forecast/CAZ512,https://api.weather.gov/zones/fire/CAZ512
003SE,SCE Fullerton Rd,33.9698,-117.91276,181.356,America/Los_Angeles,https://api.weather.gov/stations/003SE,https://api.weather.gov/zones/forecast/CAZ548,https://api.weather.gov/zones/fire/CAZ548
0043W,FSU WeatherSTEM,30.43794,-84.29966,28.0416,America/New_York,https://api.weather.gov/stations/0043W,https://api.weather.gov/zones/forecast/FLZ017,https://api.weather.gov/zones/fire/FLZ017
0049W,Madison County High School,30.48114,-83.45499,53.0352,America/New_York,https://api.weather.gov/stations/0049W,https://api.weather.gov/zones/forecast/FLZ019,https://api.weather.gov/zones/fire/FLZ019
004AS,Afono_Wx,-14.267,-170.65,84.1248,Pacific/Pago_Pago,https://api.weather.gov/stations/004AS,https://api.weather.gov/zones/forecast/ASZ001,https://api.weather.gov/zones/fire/ASZ001
004BH,Maverick Junction,43.40089,-103.39893,979.6272,America/Denver,https://api.weather.gov/stations/004BH,https://api.weather.gov/zones/forecast/SDZ027,https://api.weather.gov/zones/fire/SDZ322
004CE,100 Channelview N,29.81989,-95.12692,10.9728,America/Chicago,https://api.weather.gov/stations/004CE,https://api.weather.gov/zones/forecast/TXZ313,https://api.weather.gov/zones/fire/TXZ313
004HC,3010 SH 288 at MacGregor,29.71302,-95.37936,13.1064,America/Chicago,https://api.weather.gov/stations/004HC,https://api.weather.gov/zones/forecast/TXZ213,https://api.weather.gov/zones/fire/TXZ213
004HE,MECO Kaanapali,20.91515,-156.67232,118.5672,Pacific/Honolulu,https://api.weather.gov/stations/004HE,https://api.weather.gov/zones/forecast/HIZ018,https://api.weather.gov/zones/fire/HIZ328
004HI,Nahuku,19.4152,-155.2384,1202.1312,Pacific/Honolulu,https://api.weather.gov/stations/004HI,https://api.weather.gov/zones/forecast/HIZ053,https://api.weather.gov/zones/fire/HIZ339
004ID,W2T31,44.42516,-115.99145,1452.372,America/Boise,https://api.weather.gov/stations/004ID,https://api.weather.gov/zones/forecast/IDZ011,https://api.weather.gov/zones/fire/IDZ403
004MD,Easton 4 ESE,38.74357,-76.01185,6.096,America/New_York,https://api.weather.gov/stations/004MD,https://api.weather.gov/zones/forecast/MDZ019,https://api.weather.gov/zones/fire/MDZ019
004NH,Hooksett,43.04013,-71.4785,85.9536,America/New_York,https://api.weather.gov/stations/004NH,https://api.weather.gov/zones/forecast/NHZ008,https://api.weather.gov/zones/fire/NHZ025
004NW,McClellan Creek Rd,46.49828,-111.85646,1577.6448,America/Denver,https://api.weather.gov/stations/004NW,https://api.weather.gov/zones/forecast/MTZ322,https://api.weather.gov/zones/fire/MTZ118
004PG,Weller Road,37.48533,-121.86345,750.4176,America/Los_Angeles,https://api.weather.gov/stations/004PG,https://api.weather.gov/zones/forecast/CAZ515,https://api.weather.gov/zones/fire/CAZ515
004SE,SCE N Lyman Ave,34.0887,-117.85,213.0552,America/Los_Angeles,https://api.weather.gov/stations/004SE,https://api.weather.gov/zones/forecast/CAZ548,https://api.weather.gov/zones/fire/CAZ548
0054W,FSU Coastal and Marine Lab,29.91655,-84.51102,3.9624,America/New_York,https://api.weather.gov/stations/0054W,https://api.weather.gov/zones/forecast/FLZ115,https://api.weather.gov/zones/fire/FLZ115
005AS,Aunuu_Wx,-14.285,-170.553,34.1376,Pacific/Pago_Pago,https://api.weather.gov/stations/005AS,https://api.weather.gov/zones/forecast/ASZ001,https://api.weather.gov/zones/fire/ASZ001
005BH,Deadwood Lodge,44.39449,-103.7166,1520.6472,America/Denver,https://api.weather.gov/stations/005BH,https://api.weather.gov/zones/forecast/SDZ024,https://api.weather.gov/zones/fire/SDZ319
005CE,82 Deer Park,29.70159,-95.12632,8.2296,America/Chicago,https://api.weather.gov/stations/005CE,https://api.weather.gov/zones/forecast/TXZ313,https://api.weather.gov/zones/fire/TXZ313
005HE,MECO Maalaea,20.8014,-156.48856,0.9144,Pacific/Honolulu,https://api.weather.gov/stations/005HE,https://api.weather.gov/zones/forecast/HIZ046,https://api.weather.gov/zones/fire/HIZ330
005HI,IPIF,19.6974,-155.0954,111.8616,Pacific/Honolulu,https://api.weather.gov/stations/005HI,https://api.weather.gov/zones/forecast/HIZ053,https://api.weather.gov/zones/fire/HIZ339
005ID,W3T2,44.47213,-116.05862,1474.6224,America/Boise,https://api.weather.gov/stations/005ID,https://api.weather.gov/zones/forecast/IDZ011,https://api.weather.gov/zones/fire/IDZ403
005MD,Ridgely,38.95357,-75.88281,20.1168,America/New_York,https://api.weather.gov/stations/005MD,https://api.weather.gov/zones/forecast/MDZ020,https://api.weather.gov/zones/fire/MDZ020
005NH,Lancaster Rt 3,44.45324,-71.57874,438.912,America/New_York,https://api.weather.gov/stations/005NH,https://api.weather.gov/zones/forecast/NHZ002,https://api.weather.gov/zones/fire/NHZ021
005NW,South Hills,46.56093,-112.01502,1542.5928,America/Denver,https://api.weather.gov/stations/005NW,https://api.weather.gov/zones/forecast/MTZ322,https://api.weather.gov/zones/fire/MTZ118
005PG,Ridgewood Drive,40.74677,-124.17644,52.1208,America/Los_Angeles,https://api.weather.gov/stations/005PG,https://api.weather.gov/zones/forecast/CAZ103,https://api.weather.gov/zones/fire/CAZ201
005SE,SCE Alwick Pl,33.94762,-117.91998,167.0304,America/Los_Angeles,https://api.weather.gov/stations/005SE,https://api.weather.gov/zones/forecast/CAZ548,https://api.weather.gov/zones/fire/CAZ548
0063W,PAC Academy,28.58484,-80.8319,10.0584,America/New_York,https://api.weather.gov/stations/0063W,https://api.weather.gov/zones/forecast/FLZ347,https://api.weather.gov/zones/fire/FLZ347
006BH,Higgins Gulch,44.50525,-103.91541,1143.3048,America/Denver,https://api.weather.gov/stations/006BH,https://api.weather.gov/zones/forecast/SDZ025,https://api.weather.gov/zones/fire/SDZ323
006CE,47 Bayport,29.64036,-95.06546,5.1816,America/Chicago,https://api.weather.gov/stations/006CE,https://api.weather.gov/zones/forecast/TXZ313,https://api.weather.gov/zones/fire/TXZ313
006HC,3060 IH 10 at Normandy,29.77147,-95.20722,10.9728,America/Chicago,https://api.weather.gov/stations/006HC,https://api.weather.gov/zones/forecast/TXZ213,https://api.weather.gov/zones/fire/TXZ213
006HE,MECO Waipoli Rd,20.7353,-156.32381,1079.2968,Pacific/Honolulu,https://api.weather.gov/stations/006HE,https://api.weather.gov/zones/forecast/HIZ049,https://api.weather.gov/zones/fire/HIZ333
006HI,Spencer,19.964,-155.25,469.0872,Pacific/Honolulu,https://api.weather.gov/stations/006HI,https://api.weather.gov/zones/forecast/HIZ053,https://api.weather.gov/zones/fire/HIZ339
